_id,_insforge_id,active,code,created_at,discount_pct,expiry_date,is_auto_send,max_uses,min_bill,used_count,_migrated_at,_migrated_from,updated_at
"6a899fa83fb8c43ecce7bee8","{""code"":""LIMRAAUG120"",""discount_pct"":6,""max_uses"":150,""used_count"":0,""expiry_date"":""2026-08-15T00:00:00.000Z"",""min_bill"":""350.00"",""active"":true,""is_auto_send"":true,""created_at"":""2026-08-01T14:50:36.671Z""}","true","LIMRAAUG120","2026-08-01T14:50:36.671Z","6","2026-08-15T00:00:00.000Z","true","150","350.00","0","""2026-08-22T13:49:07.100Z""","""public"".""coupons""",""
"6a899fa83fb8c43ecce7bee9","{""code"":""LIMRAAUG15"",""discount_pct"":6,""max_uses"":300,""used_count"":0,""expiry_date"":""2026-08-16T00:00:00.000Z"",""min_bill"":""500.00"",""active"":true,""is_auto_send"":false,""created_at"":""2026-08-14T18:15:44.584Z""}","true","LIMRAAUG15","2026-08-14T18:15:44.584Z","6","2026-08-16T00:00:00.000Z","false","300","500.00","0","""2026-08-22T13:49:07.100Z""","""public"".""coupons""",""
"6a89a0aae87083af550ea5f0","","true","ATLAS50","""2026-08-22T13:14:18.042Z""","50","2030-12-31","false","100","100","0","","","""2026-08-22T13:14:18.042Z"""
