_id,id,available,description,featured,mrp,price,updated_at,_migrated_at,_migrated_from
"6a89a3043fb8c43ecce7c3f9","41","true","","false","","110.00","2026-08-15T12:19:52.091Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3fa","8","false","","false","","90.00","2026-07-25T16:32:54.112Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3fb","27","false","","false","","75.00","2026-07-25T16:33:22.318Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3fc","28","false","","false","","95.00","2026-07-25T16:33:24.411Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3fd","29","false","","false","","235.00","2026-07-25T16:33:26.437Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3fe","76","false","","false","","85.00","2026-07-25T16:34:29.051Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3ff","90","false","","false","","195.00","2026-07-25T16:35:00.537Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c400","150","false","","false","","145.00","2026-07-25T16:36:14.759Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c401","178","false","","false","","65.00","2026-07-25T16:37:14.106Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c402","177","false","","false","","55.00","2026-07-25T16:37:15.886Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c403","189","true","","false","","60.00","2026-07-25T16:37:33.547Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c404","194","true","","false","","60.00","2026-07-25T16:37:45.407Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
