_id,id,created_at,date,details,name,qty,sku,type,unit,user,action,_migrated_at,_migrated_from,item_id,item_name,quantity,balance_after,reference_id,order_id
"6a89a2c63fb8c43ecce7c1f5","log_1785951542895_8k5u","2026-08-05T17:39:02.897Z","2026-08-22T13:23:18.491Z","'-0.2 kg | Manual OUT entry recorded for J086","","0","","IN","pcs","Admin","Dhania Pata (Coriander) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c1f6","log_1785951562998_3sya","2026-08-05T17:39:23.000Z","2026-08-22T13:23:18.491Z","'-2.5 kg | Manual OUT entry recorded for J075","","0","","IN","pcs","Admin","Potato (আলু) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c1f7","log_1785951601369_jo3r","2026-08-05T17:40:01.371Z","2026-08-22T13:23:18.491Z","'-3.5 kg | Manual OUT entry recorded for J076","","0","","IN","pcs","Admin","Onion (পেঁয়াজ) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c1f8","log_1785951623537_af1k","2026-08-05T17:40:23.539Z","2026-08-22T13:23:18.491Z","'-0.2 kg | Manual OUT entry recorded for J082","","0","","IN","pcs","Admin","Green Chilli (কাঁচা লঙ্কা) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c1f9","log_1785951664680_vd2w","2026-08-05T17:41:04.682Z","2026-08-22T13:23:18.491Z","'-0.5 kg | Manual OUT entry recorded for J081","","0","","IN","pcs","Admin","Beans (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c1fa","log_1785951719271_09ob","2026-08-05T17:41:59.274Z","2026-08-22T13:23:18.491Z","'-1 kg | Manual OUT entry recorded for J055","","0","","IN","pcs","Admin","Dahi (দই / Curd) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c1fb","log_1785951735791_iihc","2026-08-05T17:42:15.793Z","2026-08-22T13:23:18.491Z","'-2 packet | Manual OUT entry recorded for J054","","0","","IN","pcs","Admin","Milk (দুধ) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c1fc","log_1785951776128_psba","2026-08-05T17:42:56.130Z","2026-08-22T13:23:18.491Z","'-1 packet | Manual OUT entry recorded for J057","","0","","IN","pcs","Admin","Butter (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c1fd","log_1785951795710_ja75","2026-08-05T17:43:15.713Z","2026-08-22T13:23:18.491Z","'-1 packet | Manual OUT entry recorded for J112","","0","","IN","pcs","Admin","13x16 Carry Bag (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c1fe","log_1785951863813_j3kc","2026-08-05T17:44:23.817Z","2026-08-22T13:23:18.491Z","'-7 pcs | Manual OUT entry recorded for J064","","0","","IN","pcs","Admin","Bisleri Water 1L (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c1ff","log_1785951877053_5irs","2026-08-05T17:44:37.055Z","2026-08-22T13:23:18.491Z","'-4 pcs | Manual OUT entry recorded for J067","","0","","IN","pcs","Admin","Bisleri Water 500ml (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c200","log_1785951895800_qbun","2026-08-05T17:44:55.803Z","2026-08-22T13:23:18.491Z","'-1 pcs | Manual OUT entry recorded for J060","","0","","IN","pcs","Admin","Campa White 100ml (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c201","log_1785951916604_uxvf","2026-08-05T17:45:16.607Z","2026-08-22T13:23:18.491Z","'-4 pcs | Manual OUT entry recorded for J062","","0","","IN","pcs","Admin","Campa White 500ml (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c202","log_1785951955200_bgcb","2026-08-05T17:45:55.205Z","2026-08-22T13:23:18.491Z","'-4 pcs | Deleted wrong OUT entry for SKU J062","","0","","IN","pcs","Admin","Campa White 500ml (Delete wrong OUT)","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c203","log_1785951966199_m9rp","2026-08-05T17:46:06.201Z","2026-08-22T13:23:18.491Z","'-4 pcs | Manual OUT entry recorded for J061","","0","","IN","pcs","Admin","Campa Black 500ml (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c204","log_1786022643398_pe9j","2026-08-06T13:24:03.401Z","2026-08-22T13:23:18.491Z","'-5 packet | Manual OUT entry recorded for J002","","0","","IN","pcs","Admin","Palm Oil (পাম অয়েল) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c205","log_1786022652639_qrow","2026-08-06T13:24:12.640Z","2026-08-22T13:23:18.491Z","'-2 packet | Manual OUT entry recorded for J007","","0","","IN","pcs","Admin","Chowmein Noodle (চাউমিন) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c206","log_1786022670844_1mu0","2026-08-06T13:24:30.848Z","2026-08-22T13:23:18.491Z","'-3 packet | Manual OUT entry recorded for J017","","0","","IN","pcs","Admin","Chilli Powder (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c207","log_1786022689203_0exh","2026-08-06T13:24:49.206Z","2026-08-22T13:23:18.491Z","'-4 packet | Manual OUT entry recorded for J018","","0","","IN","pcs","Admin","Haldi (Turmeric Powder) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c208","log_1786022724488_z83n","2026-08-06T13:25:24.490Z","2026-08-22T13:23:18.491Z","'-1 packet | Manual OUT entry recorded for J014","","0","","IN","pcs","Admin","Chat Masala (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c209","log_1786022893095_mhgc","2026-08-06T13:28:13.100Z","2026-08-22T13:23:18.491Z","'-1 L | Manual OUT entry recorded for J003","","0","","IN","pcs","Admin","Refined Oil (রেফাইন্ড অয়েল) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c20a","log_1786022904965_cvgk","2026-08-06T13:28:24.968Z","2026-08-22T13:23:18.491Z","'-1 pcs | Manual OUT entry recorded for J011","","0","","IN","pcs","Admin","Vinegar (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c20b","log_1786022927164_2kx4","2026-08-06T13:28:47.169Z","2026-08-22T13:23:18.491Z","'-0.4 kg | Manual OUT entry recorded for J083","","0","","IN","pcs","Admin","Tomato (টমেটো) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c20c","log_1786022946146_xo7c","2026-08-06T13:29:06.148Z","2026-08-22T13:23:18.491Z","'-0.7 kg | Manual OUT entry recorded for J079","","0","","IN","pcs","Admin","Capsicum (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c20d","log_1786022961564_5yvc","2026-08-06T13:29:21.568Z","2026-08-22T13:23:18.491Z","'-0.5 kg | Manual OUT entry recorded for J080","","0","","IN","pcs","Admin","Carrot (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
"6a89a2c63fb8c43ecce7c20e","log_1786023011130_mdl4","2026-08-06T13:30:11.133Z","2026-08-22T13:23:18.491Z","'-1.1 kg | Manual OUT entry recorded for J084","","0","","IN","pcs","Admin","Cabbage (বাঁধাকপি) (Stock OUT (-))","""2026-08-22T13:49:26.963Z""","""public"".""stock_logs""","","","","","",""
