_id,id,category,cost_price,created_at,date,invoice_no,name,notes,qty,sku,supplier,total_cost,unit,item_id,item_name,item_sku,_migrated_at,_migrated_from
"6a89a2493fb8c43ecce7bf04","in_rep_22_1785854327201","","0.1","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","2000","","Egra Supplier","0","g","stk_22","Mix Dal","J022","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a2493fb8c43ecce7bf05","in_rep_23_1785854327201","","46.6","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","6","","Egra Supplier","0","pcs","stk_23","Attar / Essence","J023","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a2493fb8c43ecce7bf06","in_rep_24_1785854327201","","85","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","4","","Egra Supplier","0","box","stk_24","Red Food Color","J024","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a2493fb8c43ecce7bf07","in_rep_25_1785854327201","","85","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","2","","Egra Supplier","0","box","stk_25","Yellow Food Color","J025","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf08","in_rep_26_1785854327201","","85","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","2","","Egra Supplier","0","box","stk_26","Green Food Color","J026","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf09","in_rep_27_1785854327201","","0.13","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","1000","","Egra Supplier","0","g","stk_28","Mouri (Fennel Seeds)","J028","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf0a","in_rep_28_1785854327201","","0.06","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","7","","Egra Supplier","0","kg","stk_29","Sugar","J029","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf0b","in_rep_29_1785854327201","","20","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","10","","Egra Supplier","0","packet","stk_30","Posto (Poppy Seeds)","J030","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf0c","in_rep_30_1785854327201","","15","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","12","","Egra Supplier","0","packet","stk_31","Dalda / Vanaspati","J031","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf0d","in_rep_31_1785854327201","","0.6","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","2000","","Egra Supplier","0","g","stk_32","Kaju (Cashew Nuts)","J032","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf0e","in_rep_32_1785854327201","","0.54","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","500","","Egra Supplier","0","g","stk_33","Mogoz (Melon Seeds)","J033","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf0f","in_rep_33_1785854327201","","3.1","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","700","","Egra Supplier","0","g","stk_34","Elachi (Cardamom)","J034","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf10","in_rep_34_1785854327201","","0.46","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","300","","Egra Supplier","0","g","stk_35","Long (Cloves)","J035","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf11","in_rep_35_1785854327201","","2.58","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","450","","Egra Supplier","0","g","stk_36","Jaitri (Mace)","J036","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24a3fb8c43ecce7bf12","in_rep_36_1785854327201","","0.28","2026-08-04T14:38:54.196Z","04-08-2026","","","Opening stock balance entry from inventory report","500","","Egra Supplier","0","g","stk_37","Dalchini (Cinnamon)","J037","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
