_id,id,category,cost_price,is_available,min_qty,name,qty,sku,supplier,unit,updated_at,_migrated_at,_migrated_from,current_stock
"6a899f9b3fb8c43ecce7bea7","stk_51","Bhusimal & Spices","0.18","true","250","Dhania (Coriander Seeds)","1499.6","J051","Egra Supplier","g","2026-08-16T15:43:39.157Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9b3fb8c43ecce7bea8","stk_53","Bhusimal & Spices","35","false","5","Staff Rice","13.9","J053","Egra Supplier","kg","2026-08-20T16:15:24.616Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9c3fb8c43ecce7bea9","stk_16","Bhusimal & Spices","180","true","2","Ajinomoto (Ajina)","4","J016","Egra Supplier","kg","2026-08-21T15:53:28.475Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9c3fb8c43ecce7beaa","stk_49","Bhusimal & Spices","25","true","1","Black Salt (Bit Nun)","1","J049","Egra Supplier","kg","2026-08-21T16:13:16.240Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9c3fb8c43ecce7beab","stk_15","Bhusimal & Spices","52","true","1","Kashmiri Chilli Powder","2","J015","Egra Supplier","pcs","2026-08-21T16:30:32.673Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9c3fb8c43ecce7beac","stk_60","Cold Drinks","10","true","10","Campa White 100ml","9","J060","Egra Supplier","pcs","2026-08-21T16:39:21.043Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9c3fb8c43ecce7bead","stk_61","Cold Drinks","20","false","10","Campa Black 500ml","15","J061","Egra Supplier","pcs","2026-08-21T16:40:07.013Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9c3fb8c43ecce7beae","stk_69","Cold Drinks","20","false","10","Kinley Soda","36","J069","Egra Supplier","pcs","2026-08-21T16:43:58.297Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9c3fb8c43ecce7beaf","stk_5","Bhusimal & Spices","36.4","true","10","Maida (মাইদা)","4.5","J005","Egra Supplier","kg","2026-08-21T16:47:32.115Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9d3fb8c43ecce7beb0","stk_8","Bhusimal & Spices","33.6","true","5","Tomato Sauce (টমেটো sos)","13","J008","Egra Supplier","packet","2026-08-21T16:47:51.416Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9d3fb8c43ecce7beb1","stk_13","Bhusimal & Spices","12.5","true","5","Kasuri Methi","17","J013","Egra Supplier","pcs","2026-08-21T16:48:08.793Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9d3fb8c43ecce7beb2","stk_14","Bhusimal & Spices","40","true","2","Chat Masala","7","J014","Egra Supplier","packet","2026-08-21T16:48:21.748Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9d3fb8c43ecce7beb3","stk_50","Bhusimal & Spices","10.4","true","5","Regular Salt","25","J050","Egra Supplier","pcs","2026-08-04T16:24:26.226Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9d3fb8c43ecce7beb4","stk_39","Bhusimal & Spices","0.8","true","50","Rose Petals","250","J039","Egra Supplier","g","2026-08-21T16:51:25.150Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9d3fb8c43ecce7beb5","stk_55","Dairy Items","80","false","2","Dahi (দই / Curd)","1","J055","Egra Supplier","packet","2026-08-21T16:54:05.773Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9d3fb8c43ecce7beb6","stk_29","Bhusimal & Spices","52","true","1","Sugar","0","J029","Egra Supplier","g","2026-08-21T17:02:10.815Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9d3fb8c43ecce7beb7","stk_63","Cold Drinks","0","false","24","Kinley Water 1L","0","J063","Egra Supplier","pcs","2026-08-07T12:47:47.612Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9e3fb8c43ecce7beb8","stk_65","Cold Drinks","0","false","24","Local Mineral Water 1L","0","J065","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f9e3fb8c43ecce7beb9","stk_59","Dairy Items","145","false","3","Cheese Block / Slice","8","J059","Egra Supplier","pcs","2026-08-04T16:35:16.346Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa03fb8c43ecce7beba","stk_70","Cold Drinks","20","false","10","Bisleri Soda","0","J070","Egra Supplier","pcs","2026-08-05T15:50:42.580Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa03fb8c43ecce7bebb","stk_104","Packaging & Carry Bags","7.5","true","100","1000ml Container","150","J104","Egra Supplier","pcs","2026-08-19T16:59:19.205Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa03fb8c43ecce7bebc","stk_79","Fresh Vegetables","80","true","1","Capsicum","0","J079","Egra Supplier","kg","2026-08-22T05:03:03.140Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa03fb8c43ecce7bebd","stk_88","Fresh Vegetables","40","true","1","Cucumber (শসা)","3.4","J088","Egra Supplier","kg","2026-08-22T05:03:25.533Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa03fb8c43ecce7bebe","stk_117","Packaging & Carry Bags","120","true","1","9x12 SP Pouch","1","J117","Egra Supplier","packet","2026-08-20T16:06:50.288Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bebf","stk_112","Packaging & Carry Bags","55","true","3","13x16 Carry Bag","14","J112","Egra Supplier","packet","2026-08-20T16:07:10.936Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bec0","stk_106","Packaging & Carry Bags","6.5","true","100","750ml Container","448","J106","Egra Supplier","pcs","2026-08-20T16:11:39.568Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bec1","stk_115","Packaging & Carry Bags","450","false","1","Cling Wrap (Clean Tape)","0","J115","Egra Supplier","pcs","2026-08-19T13:18:52.213Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bec2","stk_52","Bhusimal & Spices","200","true","3","Egg (ডিম)","-2","J052","Egra Supplier","packet","2026-08-21T16:53:25.841Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bec3","stk_75","Fresh Vegetables","15","true","8","Potato (আলু)","20.3","J075","Egra Supplier","kg","2026-08-21T16:54:42.804Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bec4","stk_80","Fresh Vegetables","40","true","1","Carrot","1.1","J080","Egra Supplier","kg","2026-08-21T16:56:40.702Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bec5","stk_86","Fresh Vegetables","100","true","1","Dhania Pata (Coriander)","1.2","J086","Egra Supplier","kg","2026-08-21T16:58:38.450Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bec6","stk_116","Packaging & Carry Bags","70","true","1","7x9 SP Pouch","4","J116","Egra Supplier","packet","2026-08-11T14:38:08.672Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bec7","stk_42","Bhusimal & Spices","590","true","1","Pure Ghee","0","J042","Egra Supplier","box","2026-08-14T17:56:57.822Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bec8","stk_105","Packaging & Carry Bags","3.4","false","100","750ml Silver Container","500","J105","Egra Supplier","pcs","2026-08-05T15:15:56.169Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7bec9","stk_107","Packaging & Carry Bags","5","false","100","500ml Container","150","J107","Egra Supplier","pcs","2026-08-05T15:16:26.785Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899fa13fb8c43ecce7beca","stk_23","Bhusimal & Spices","46.6","true","2","Attar / Essence","3","J023","Egra Supplier","pcs","2026-08-15T13:11:34.270Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
